DATE,GCEC96,GDPC1
2004-01-01,2793.935,14221.147
2004-04-01,2809.923,14329.523
2004-07-01,2820.664,14464.984
2004-10-01,2808.229,14609.876
2005-01-01,2814.091,14771.602
2005-04-01,2818.942,14839.782
2005-07-01,2840.970,14972.054
2005-10-01,2830.703,15066.597
2006-01-01,2853.496,15267.026
2006-04-01,2864.122,15302.705
2006-07-01,2870.426,15326.368
2006-10-01,2889.085,15456.928
2007-01-01,2882.744,15493.328
2007-04-01,2907.034,15582.085
2007-07-01,2928.048,15666.738
2007-10-01,2939.810,15761.967
2008-01-01,2951.988,15671.383
2008-04-01,2974.981,15752.308
2008-07-01,3016.161,15667.032
2008-10-01,3035.882,15328.027
2009-01-01,3040.542,15155.94
2009-04-01,3096.001,15134.117
2009-07-01,3112.999,15189.222
2009-10-01,3106.822,15356.058
2010-01-01,3084.280,15415.145
2010-04-01,3106.209,15557.277
2010-07-01,3103.533,15671.967
2010-10-01,3071.524,15750.625
2011-01-01,3012.216,15712.754
2011-04-01,3008.995,15825.096
2011-07-01,2990.006,15820.7
2011-10-01,2978.279,16004.107
2012-01-01,2963.714,16129.418
2012-04-01,2949.378,16198.807
2012-07-01,2940.856,16220.667
2012-10-01,2912.269,16239.138
2013-01-01,2880.574,16382.964
2013-04-01,2866.231,16403.18
2013-07-01,2851.955,16531.685
2013-10-01,2831.451,16663.649
2014-01-01,2827.201,16616.54
2014-04-01,2834.668,16841.475
2014-07-01,2849.507,17047.098
2014-10-01,2845.038,17143.038
2015-01-01,2855.726,17277.58
2015-04-01,2879.885,17405.669
2015-07-01,2888.251,17463.222
2015-10-01,2890.238,17468.902
2016-01-01,2903.187,17556.839
2016-04-01,2896.332,17639.417
2016-07-01,2899.936,17735.074
2016-10-01,2901.184,17824.231
2017-01-01,2896.627,17925.256
2017-04-01,2895.230,18021.048
2017-07-01,.,18163.558
2017-10-01,.,18322.464
2018-01-01,.,18438.254
2018-04-01,.,18598.135
2018-07-01,.,18732.72
2018-10-01,.,18783.548
2019-01-01,.,18927.281
2019-04-01,.,19021.86
2019-07-01,.,19121.112
2019-10-01,.,19220.49
